age,Computer,TV,Cellphone,Software,Frequency3,Monetary3,Monetary60
39,2,0,2,7,11,2896951.21626092,7408193.28523212
30,5,2,0,6,13,1722693.52212886,6151385.61247538
22,3,2,2,5,12,1970098.65463045,9303252.90231594
38,5,1,1,7,14,1701334.89226567,8871245.60574031
23,0,0,2,5,7,1752469.47854927,3599335.20455776
38,5,1,0,7,13,1669160.86653373,3736567.60250173
26,3,2,2,6,13,2760970.09548374,6011270.88564221
31,0,2,0,7,9,2047832.95376096,8055926.44799169
33,6,3,1,3,13,2604499.37896494,4958875.43373053
11,6,0,0,5,11,1484695.91040987,8190188.53397534
40,4,3,2,7,16,2822925.89447133,8014635.61568015
23,1,2,1,7,11,1954696.46753781,7212393.27334233
19,1,1,0,6,8,1993854.31376323,5972298.75752649
28,0,3,0,0,3,1135011.03916378,4490353.6442843
39,1,0,1,7,9,1662954.80804964,5563821.20820005
16,2,0,1,3,6,2004691.09420333,3877873.5579436007
20,5,0,1,6,12,2447487.57029536,11720937.825732699
38,6,3,1,1,11,1829489.5218816001,7269549.71416939
38,3,3,0,5,11,1967651.15405923,7745848.26167466
40,0,1,2,5,8,2082375.86838615,6614601.57106029
18,1,2,0,6,9,2613495.52034119,8111380.60941518
17,6,1,1,5,13,2389184.22117153,8243145.58486059
14,0,0,2,6,8,2325642.68268831,7572783.47606348
31,1,2,2,6,11,1688344.76978996,7201213.05903665
39,6,2,0,2,10,1969591.92265568,5717903.51093974
13,4,2,1,5,12,2249209.78339978,5785191.0165117
10,2,2,2,0,6,1665478.79445464,4509119.23692665
23,2,3,0,3,8,1942539.31160016,5073921.22652598
19,2,3,0,4,9,2508268.92971054,5662379.64079492
30,6,3,2,0,11,2116936.73939109,4954155.93756701
36,2,3,2,0,7,1850380.13841235,6174984.47610212
13,1,2,2,1,6,1637195.44153557,4112908.34208396
37,5,3,2,4,14,3191091.62503795,8534058.04236687
33,0,1,0,3,4,1264111.98583112,2813580.38552091
11,6,3,1,7,17,2528482.55398381,12919955.943974301
10,1,3,0,2,6,1188805.68934259,4513720.69996627
18,6,2,1,6,15,3364342.92466724,8380114.80961107
17,5,1,1,7,14,2117116.61515564,4998813.65874386
32,1,2,0,5,8,2089424.41445831,3251003.67420654
39,5,0,1,1,7,2102796.04018719,7165349.08421999
22,2,0,1,6,9,1904847.5839189,7652031.88418359
20,6,2,0,3,11,1896314.04315695,6785828.93580513
14,4,3,2,5,14,2710776.74580872,8574601.82912454
19,4,0,2,6,12,1725445.73047199,7361092.26016124
17,1,0,0,7,8,2233738.31700916,8019173.27396934
10,6,0,1,0,7,1430679.66844427,8336784.17088382
13,0,3,0,1,4,1207921.53733451,4071861.932034
26,5,1,1,2,9,2151319.02101117,9296225.07785995
25,3,2,1,6,12,2370954.14369116,5714872.23126001
31,5,1,2,5,13,2801700.79041982,6915799.3532080995
29,1,2,0,1,4,1142064.01631007,5339859.70258657
17,4,2,2,6,14,1844910.53636923,6255325.25109339
31,2,3,0,2,7,1285690.00453099,3819100.06183025
23,1,3,1,5,10,2060101.07911802,5266009.44704537
25,5,1,2,4,12,2131507.5275187,6819827.03497156
35,2,1,2,4,9,2402424.15062378,4389670.22726905
15,4,1,0,6,11,2188196.48402925,9295590.16940288
15,1,3,2,1,7,2191587.46017344,7141477.04429811
33,3,0,0,0,3,942771.0037820359,5363833.47894686
26,5,0,1,7,13,2144809.82910202,5007746.65565355
30,1,2,0,0,3,1012596.47891822,3276277.07975809
31,0,0,1,5,6,2187835.4056427,7610110.78978294
33,6,2,1,3,12,2437297.3194499,8701473.45053335
21,5,1,2,6,14,1876446.08621251,5731363.97989915
19,5,1,0,0,6,1956393.39264845,6154708.98366256
17,4,2,2,5,13,1773736.7026634,9966398.39366848
22,4,3,2,4,13,1585346.14672821,5199931.23735918
26,1,2,1,3,7,1962003.36827255,6725526.35601099
15,1,0,0,1,2,919136.735949068,3243380.46079686
40,5,0,2,1,8,1977392.84765237,5489911.1393818
16,1,1,1,7,10,2071514.70621979,3584481.93422042
14,4,3,2,7,16,2830868.95941199,7482579.71344215
32,0,2,0,6,8,2129578.1394292,3746518.52667818
37,3,1,2,6,12,2265013.9597827997,4937884.12002318
34,2,2,0,4,8,1429669.32706177,1572267.11137491
19,4,3,1,4,12,2074028.54430219,5438535.29362702
38,6,2,0,2,10,1788048.08698537,8500616.39821974
34,2,3,1,3,9,1395010.1449231,7694107.61579238
10,6,1,1,0,8,1915601.456093,6635944.09845778
36,3,2,1,4,10,1997857.60987423,6280991.75411767
12,5,3,0,7,15,3045849.01295742,8545570.03169252
33,0,0,0,3,3,1758805.6050511003,3899191.1275431
10,6,1,2,3,12,2286622.91650015,7333023.06587212
15,5,2,1,4,12,2615274.57884537,6275622.1037161
13,5,3,0,7,15,1879326.45641621,12757676.0017526
35,5,2,2,4,13,1586814.1067801001,5253360.18884774
30,6,1,2,0,9,1718291.10463554,3152680.43973981
37,6,1,0,3,10,2236805.62597808,7223267.02160485
30,2,3,2,7,14,1400935.24995328,10132199.3561089
21,2,0,2,4,8,1310651.92633778,6592823.649991599
10,1,0,0,6,7,1550270.04052578,5266253.96652205
36,0,0,1,1,2,1033490.19649947,2573856.19757456
30,3,3,2,3,11,2170811.20790055,6831367.46880021
35,0,1,1,0,2,1375454.72920899,4494336.90506352
19,5,2,2,2,11,2610219.79712422,6063172.75314777
40,5,3,1,7,16,2295034.00628411,9715974.46232592
28,0,3,1,2,6,1678508.95821486,6494474.94564566
29,4,2,2,7,15,1416065.84267661,7985537.07108641
25,3,1,1,4,9,1668722.2632745001,6437111.16188939
27,0,2,1,5,8,1556508.31792934,7263256.13242075
11,2,0,1,5,8,1957285.59684054,5882404.64023608
11,1,2,2,6,11,2207049.71198289,9014337.50425973
16,3,0,1,3,7,1665925.1815273,2479277.74340725
38,1,2,2,3,8,1827961.76630575,4930731.80249985
33,3,2,2,2,9,1974134.5756586003,4293319.97948806
24,6,1,2,2,11,2313146.74127457,5327248.08489176
30,2,3,0,5,10,1711772.69185263,6275868.51452945
38,3,3,2,6,14,2915964.11436282,7689439.68064965
28,6,1,2,2,11,3090056.54067245,4765922.29029686
35,6,3,1,6,16,2744841.93946232,6541218.48860482
21,1,1,0,0,2,969176.349118354,4764909.50345581
13,3,1,2,6,12,1954954.16469379,4532933.35434793
17,4,1,1,2,8,1407829.79108179,4998644.38144042
22,6,1,1,7,15,3089040.79967001,4637633.95646437
11,1,0,2,5,8,1756435.80055624,5985817.74489514
14,0,0,2,7,9,1630231.30056556,4460459.75497922
34,0,3,0,7,10,2203517.28087956,7167328.33033713
21,4,3,0,3,10,2156077.44370273,3068799.76681256
30,4,1,1,0,6,1567131.23957188,3520195.33031492
19,1,0,0,6,7,2179850.17670474,3163137.11716413
21,4,3,1,5,13,2206977.66296809,5908231.94082146
17,0,0,2,6,8,1504204.1662264,6268148.68637156
20,5,1,1,0,7,1538017.07437507,1989601.64692844
36,2,1,1,4,8,1809988.62309599,7891100.57393557
32,1,1,2,6,10,2217801.26547347,4293162.32735302
11,5,1,2,6,14,2668675.94547461,5732893.12889735
28,4,0,0,3,7,1517683.36675813,2259579.30931039
11,1,0,0,0,1,885736.5088789591,5837035.0929291
21,3,1,1,1,6,1799286.91674709,7017892.07557686
31,4,2,2,1,9,2154640.5046846,4524077.41730356
14,5,1,2,2,10,1762884.5240298,3986778.63747041
34,5,0,2,1,8,1692136.70532012,4610666.63434919
20,2,0,1,3,6,1518778.34333824,4108456.00116387
36,4,2,1,0,7,1861152.46558065,5288424.20481687
35,5,0,2,2,9,1825649.49812556,5677421.3675628
20,6,2,1,7,16,2365876.64208286,8776842.5690817
24,0,2,2,3,7,1921329.29896573,5214368.81836592
40,6,0,2,3,11,2696845.21383424,6377562.3809963
22,2,2,1,6,11,2492927.00773904,4438637.3762729
27,4,3,0,7,14,2054395.80344971,7761878.06541419
13,4,1,0,1,6,1735795.56816104,4588820.9998876
12,3,3,1,0,7,1828403.73234935,5771994.44295773
36,1,1,2,6,10,1904583.56220256,7026316.42267586
21,1,3,0,0,4,1465633.44218948,3826764.7511787997
19,6,0,0,1,7,1569610.55472973,5405513.21694394
31,5,2,2,3,12,1271532.22941593,6141902.00551531
10,1,1,2,6,10,1910269.2557354,3488938.04278823
34,6,3,0,0,9,1829060.76424532,5611149.69805276
17,2,0,2,3,7,1985616.19715833,3888171.59415259
27,1,2,1,5,9,1884168.64972955,4409350.26635622
40,6,2,2,0,10,1996876.22104953,6261212.43535906
14,5,2,0,4,11,1850860.85197431,5183167.39641506
34,0,0,0,6,6,1892670.71942524,6052832.33128562
34,2,1,1,1,5,1081830.35616708,2695322.65443209
29,0,3,1,5,9,2067474.39364458,6993686.53733631
26,4,3,1,4,12,2442206.0218203,5677503.12980324
33,2,0,1,3,6,1695646.43152319,4319984.66909178
29,3,1,0,3,7,2150394.32674097,3870261.31474558
10,1,0,2,4,7,1603087.9959338002,4547417.19374328
22,4,0,1,7,12,2173682.10462127,9429492.28520667
39,5,2,1,0,8,1837153.61703734,5310603.36733851
39,6,2,1,5,14,2066458.28329855,10741582.5686232
34,3,2,2,3,10,2327416.54691856,7423730.75269443
29,1,2,0,5,8,1748656.77871975,6650798.79448455
36,1,2,0,1,4,1593310.76068109,1972147.93425307
22,6,0,1,5,12,2143756.24433439,6881681.50859199
17,4,2,2,5,13,1287303.00273966,5857298.50129523
34,6,3,1,2,12,1554164.87039083,5873052.00294491
35,4,3,1,3,11,2305067.8437862997,4183583.32785947
31,2,1,2,5,10,1226597.61672233,6360087.28479668
25,4,0,2,7,13,2922943.81328275,8072941.28861884
38,4,1,1,5,11,2818592.71326067,6915789.80572304
19,4,0,2,6,12,2559843.25684376,6729463.21536229
39,3,0,1,2,6,1996936.79298087,7211527.81072097
36,5,2,2,1,10,2185487.81079959,8609754.80663558
25,6,0,2,0,8,1927503.93640827,2010437.53459914
33,5,3,1,5,14,2332424.54325167,7674135.14661169
21,4,1,0,3,8,1776803.61625966,2307465.58070651
29,4,3,1,0,8,2262247.0894955,6087226.57393181
13,5,3,0,6,14,1840371.24604342,5803669.16022103
10,4,2,1,6,13,2404885.44174566,3480060.38900691
31,0,3,0,6,9,2083413.15046329,5164528.8917761
20,0,3,0,3,6,1541484.73536354,2593539.13405616
27,1,0,1,3,5,1287078.89721677,5038891.16092399
17,4,3,1,6,14,2363713.21962926,6518287.97175235
28,3,0,1,5,9,1422790.74773237,3905204.02536577
19,6,1,1,5,13,2425089.51635322,4451462.38426745
34,3,1,2,5,11,1794412.31898614,4531581.28411763
29,3,0,2,7,12,2206718.79232186,5364871.66016614
29,3,0,1,2,6,1707229.32426965,6276903.652545501
26,3,3,1,3,10,2553542.59641442,2628950.65331615
36,4,3,1,0,8,2100907.03574842,5038696.86278485
21,0,2,0,0,2,1156087.96937034,2855766.56484943
39,5,3,2,6,16,1980860.27011897,9060410.59185095
39,2,0,1,1,4,1422132.35517172,4581054.0821822
29,6,3,2,0,11,2005814.90351207,9426145.34631427
30,2,2,0,7,11,1995756.73546998,6455576.82383441
39,5,2,0,7,14,2109546.13123587,10047540.8113361
19,6,1,2,5,14,2147802.25142774,12528343.4330631
32,2,0,0,2,4,966638.97959685,2759715.00682497
12,0,0,1,4,5,1900875.43156465,3639187.20100313
37,2,3,1,7,13,2008011.97438146,6357352.32586969
32,6,2,0,4,12,2645618.63797931,8005592.09152794
35,5,3,1,7,16,2815181.78343509,7258573.78460782
16,0,2,0,1,3,1191377.82443315,4748259.47369412
11,2,0,0,2,4,1441018.60697775,4457658.93320685
14,6,0,0,5,11,1569778.53660416,6003750.81368772
30,6,0,0,5,11,1746293.53212128,4012266.93428746
10,4,2,0,1,7,2092691.22039561,4623625.48261552
19,0,2,1,0,3,1159689.80754992,1595941.24402077
23,6,3,1,2,12,2240652.82639416,10910371.343667401
19,2,0,0,5,7,1208372.09737096,3618415.36984826
34,1,1,1,1,4,1298182.08522796,1914941.0264052
20,4,0,1,1,6,1360793.67621405,5098671.57218312
23,5,1,2,0,8,1933802.61941482,2129062.74683748
34,1,1,1,4,7,2013612.52500476,5743905.32190239
19,2,0,2,7,11,2252662.76670045,5617605.23481909
19,3,3,0,7,13,2386003.57691454,10532494.2318032
21,6,3,0,6,15,3044528.46057163,7516650.74689983
20,3,1,1,6,11,2786724.24379402,8720200.25519519
29,3,2,2,0,7,2123911.60442485,2437629.99869836
25,3,1,0,1,5,1440488.47020224,5245556.21676491
40,4,0,1,2,7,1753092.14733604,7000362.17620692
40,6,3,0,1,10,1230800.88788899,4995895.52507782
15,1,0,1,1,3,1557386.2836857,5065594.87153093
34,3,1,2,4,10,2240963.19694348,6136928.36856194
15,0,3,1,4,8,1732276.31387988,7672648.26220807
30,5,1,1,7,14,2320357.67664897,5994407.75167897
22,3,3,1,1,8,1951775.75581306,5807527.27760035
10,6,3,1,6,16,2578603.73797588,9271829.53232886
25,0,2,1,6,9,1657470.31804648,6013846.45746931
28,0,1,1,1,3,1812160.07951053,3698740.28711981
32,2,2,1,7,12,2200310.8188195997,7998557.29562019
24,3,0,2,0,5,1610665.58181997,5260050.11342648
22,0,2,0,3,5,1547690.11125594,3891526.81886953
26,2,0,0,7,9,2046181.10765007,5726282.56739678
31,3,0,1,4,8,1751679.27104933,3082102.23087789
15,0,1,2,5,8,2263507.48268554,3583904.3294865
19,4,1,1,6,12,1945801.78597341,5147734.07962797
38,0,1,2,6,9,2192249.96891116,2400158.87824318
37,2,3,1,7,13,2358119.23296297,7165975.49227556
40,6,0,1,4,11,1506450.0326642,5793801.86276803
11,0,3,0,1,4,962361.691701474,3201024.68968114
32,6,2,1,5,14,2234964.21813432,7144922.50127391
36,1,1,0,1,3,1420577.79369748,6496484.76040691
11,2,3,0,6,11,2152718.29426618,6309837.37512722
17,0,1,0,3,4,1513044.35484564,561255.733187265
25,0,3,1,0,4,1488120.24076893,4200355.15947024
18,3,0,2,4,9,2374447.93610095,2799693.72499519
33,2,2,0,6,10,1644560.44536793,6354091.26780376
15,2,1,0,6,9,1416592.23331605,4577717.18034624
21,5,2,2,0,9,1970757.43240767,10145848.148792999
30,1,3,0,7,11,1759337.17896397,5556591.97914473
15,4,0,1,3,8,2378030.7856881,6864626.98156267
37,0,1,1,4,6,1629011.95065635,3138018.36195108
27,6,3,0,7,16,2331463.54411702,9188660.25709247
18,6,0,1,7,14,1912266.75009592,10999605.4756312
19,2,3,1,4,10,1950250.23326692,5790060.10729317
16,3,0,2,4,9,2020213.58625986,3539467.99973134
17,2,3,0,0,5,1339723.13079572,4614463.43570688
20,0,2,2,3,7,1519899.09121396,2814376.40254992
27,0,1,0,0,1,1151555.76278153,2561196.44031366
22,2,3,1,4,10,1354905.47885327,9615925.63505326
39,6,3,0,4,13,1383969.60172622,8415458.08378204
21,5,0,0,4,9,2055783.99209447,8497417.90752945
30,4,0,1,1,6,1479551.24504975,6532154.80526309
39,5,0,0,0,5,1357085.72590292,1440887.52538334
38,4,3,2,2,11,2277090.20454874,4355525.69907331
21,2,2,1,0,5,1901673.57556366,6483813.77318088
17,5,0,2,1,8,2101664.11969332,1749904.27743914
23,5,1,1,5,12,2238726.83669599,8101053.17355268
21,6,1,1,1,9,2173127.52855485,2824903.53858138
38,1,0,1,7,9,1979356.6601904,7040963.472650399
30,2,3,0,2,7,1474943.48676964,3715606.01218396
28,6,1,2,6,15,2388558.44478203,5450774.23776827
30,4,0,2,3,9,1508746.17243619,6954813.63103733
31,5,1,1,7,14,2662762.86087444,9955802.42412635
10,3,0,0,0,3,1523856.50136349,4561857.80893708
32,4,2,0,5,11,2416885.0823047995,6136208.77401452
23,5,3,1,4,13,3053586.64475154,7432203.86950905
34,1,1,1,6,9,1901053.99845266,6691974.69830762
38,6,1,2,6,15,1892486.51989431,4105052.46952898
19,6,1,1,5,13,2403841.35561974,6110892.33178003
36,5,0,1,5,11,2278312.95229182,1979977.00998477
23,4,0,1,4,9,2032460.08118224,4418018.62477574
21,6,0,0,0,6,1300214.26804319,4884950.99548542
31,6,0,2,7,15,2471792.01931885,8921720.10717764
22,4,2,0,1,7,1359082.79013292,6040187.49650731
37,5,0,0,2,7,1931414.09837258,6486664.35627611
30,4,2,0,7,13,2490117.33605955,9968966.15191144
15,4,0,1,5,10,2059697.57855604,4038454.05016145
27,6,1,2,6,15,1482050.75967501,6169674.20105147
32,1,2,0,2,5,1909484.17388246,4222203.00562773
14,3,1,0,0,4,1745102.66148767,4143061.11470999
21,5,0,0,0,5,1907404.82027025,5039998.94550283
40,5,0,0,4,9,2506871.93952698,6745060.20897762
13,0,3,2,5,10,1977853.07350601,6211134.4108377
39,2,2,0,5,9,1660984.29378554,5619185.27478268
12,0,2,0,0,2,1174988.86283201,4596582.61892149
33,0,3,0,7,10,1489541.49136166,5042116.03404927
28,1,1,0,4,6,1308463.46265325,5302608.27965422
17,1,3,1,3,8,1781286.48793937,5401748.17233313
31,1,0,1,6,8,1575869.2739517,6864268.77440411
24,6,1,1,3,11,2675892.64068657,7497815.40369167
39,3,3,2,5,13,2016978.46281201,9605300.06496051
28,3,0,2,6,11,1712851.61230727,7889094.78040608
27,1,0,0,1,2,1122242.27982138,3699105.08099948
32,5,0,1,5,11,2010731.62035554,5658848.18612409
33,5,2,1,5,13,2245538.36635228,10527568.269113401
17,5,2,0,0,7,2182448.25612825,2232945.80051589
10,2,1,0,5,8,1893529.31236651,4088514.38432843
27,2,2,1,4,9,1495409.64414445,5943050.8800672
28,1,0,0,7,8,1995339.58427249,8327399.19802966
31,5,3,0,3,11,2091073.27102283,2837755.3267403
29,4,2,0,1,7,2208117.69520024,6953342.42286791
31,3,1,0,7,11,1578348.90604333,8175584.80274579
31,0,0,2,0,2,1024674.45221119,2870796.99617038
19,5,2,0,3,10,1677657.55616334,9041937.87125384
21,2,2,1,5,10,1905840.49666144,4519861.63064599
11,4,1,1,5,11,2580238.42478468,9376454.95961767
23,2,1,0,2,5,1618195.65512478,4686745.65685221
19,1,0,0,7,8,1963632.76958548,4300260.52913303
40,2,1,1,6,10,2306307.51788274,5506197.66429036
28,5,1,1,3,10,1877866.79727805,5399521.40797589
20,0,3,0,0,3,1458610.25755123,3246931.8937302004
31,2,1,1,6,10,1589986.26482867,6299176.30087964
25,2,2,1,3,8,1692006.15499432,5313305.17743401
29,6,0,1,5,12,2020338.54616822,4500727.81307484
25,6,1,2,5,14,2428852.2783132005,4502636.53279982
37,3,3,2,1,9,1770231.70992025,3289123.75237585
20,4,0,1,4,9,1719339.01301834,4264140.69957521
16,4,1,2,3,10,1494367.29813702,6148812.04066381
20,2,0,1,5,8,1921869.60443598,4828378.91492269
19,2,2,1,0,5,1953321.73367256,5948617.573389701
10,4,2,2,4,12,2406103.29503392,8937147.291323802
30,1,3,1,1,6,1092952.49079982,4574203.43085519
18,0,3,0,5,8,1993981.53666003,7072986.0557261
11,0,2,0,7,9,1313796.96762616,3527627.18058651
30,0,2,2,4,8,1841484.11980351,5949591.54953943
14,5,3,0,0,8,1855508.58439308,6066621.76642104
39,4,2,1,0,7,1860834.7566417,2516416.08979715
16,3,0,1,5,9,2085012.15776763,4933132.28646776
11,5,0,0,3,8,2162123.86854691,4754724.1531911
35,3,3,0,4,10,1935998.62547113,5686893.56800952
13,2,2,0,2,6,952545.715364257,4432373.70891777
14,2,0,1,5,8,1309813.82559637,5783752.86251502
15,5,1,2,0,8,1787171.14259396,5235418.63898924
36,4,2,2,3,11,2029639.0195988999,4892362.81198981
22,6,3,0,7,16,2511180.04133246,6678556.515759599
34,5,1,2,0,8,1882269.71732833,3010750.94600699
34,3,2,0,1,6,1821794.96539576,8509857.96826931
34,5,0,0,7,12,2336165.22977712,5805667.13470635
12,6,2,1,1,10,1782869.02063613,4637163.6149338
23,6,2,2,2,12,1338907.88628962,5959798.4079046
15,5,0,0,0,5,1285921.93345488,2901309.19837017
31,0,0,0,5,5,1521567.80031872,3575601.39157165
15,2,2,0,0,4,1351471.02860261,4974076.4773345
28,0,2,1,2,5,1314268.94688486,5266581.77754624
14,4,1,0,0,5,1784872.37856088,7893830.2140103
26,0,3,1,5,9,2508425.20665886,8204558.648327099
28,4,0,2,1,7,1935458.01342763,6525777.38467185
26,1,0,1,2,4,1618859.69844698,4383800.57506792
29,0,2,0,2,4,1540013.09609714,5755137.56654593
30,1,1,1,4,7,1814729.7489764,5513723.95998542
38,0,3,1,6,10,1844795.55186766,6260614.00560201
16,3,0,1,3,7,1967913.26192574,6280145.42780666
29,2,3,0,0,5,1568857.42995044,4025213.89329965
17,0,2,1,3,6,1639559.42346369,4905701.04428661
35,4,2,1,0,7,1697295.33583838,6257996.34166864
22,3,1,2,7,13,1892405.20220668,6508109.26821646
40,1,0,1,3,5,1355196.23857201,5159825.51836969
23,1,2,1,0,4,1422185.64055648,5296876.93412599
38,5,3,1,7,16,2020986.11012674,9956902.44214798
31,6,3,0,1,10,1776593.00788465,6211398.16954475
10,1,2,0,1,4,1269099.05404549,2946659.50761869
19,6,1,2,7,16,2765564.49813933,6045831.07699591
23,1,3,1,1,6,1760625.2396156997,3974696.19152408
35,3,2,2,4,11,1888083.87616454,6700314.72696762
21,0,0,0,1,1,1008103.74542363,4698028.94535057
30,5,3,1,2,11,2375018.97574803,5129445.86476699
13,4,3,1,1,9,1939212.80398357,7252503.9889378995
14,5,3,1,0,9,1728341.7523261001,7962672.84216024
36,4,3,1,4,12,1772588.90542239,7027587.77105204
35,2,2,1,7,12,2263106.88544466,6177920.97908771
26,5,0,1,3,9,2757386.66832348,5642423.05919956
29,0,1,0,2,3,1789195.09871779,3839162.10201896
30,5,2,0,7,14,1815873.68278916,5932911.03290216
36,5,0,0,4,9,2249490.8275479,6643171.46019261
36,3,1,2,2,8,1732878.97291391,8948951.54444472
38,6,0,2,3,11,1759849.55212288,11078029.95489
29,0,1,0,5,6,1591725.227282,6402820.21682746
19,2,2,1,4,9,1622472.58989311,2219173.25544131
26,5,3,0,2,10,2020546.71797277,9396415.66123557
28,1,0,2,6,9,1794097.96448822,4166023.55816226
21,3,1,2,7,13,2275104.19241997,5696307.53959784
40,1,1,1,7,10,1908898.0289454,10762391.7736705
36,4,2,2,1,9,2198797.79695731,4679700.69960066
33,2,3,2,1,8,1890627.77266221,6473046.8356579
21,6,2,2,1,11,2335176.41269008,4256733.26668317
34,5,3,1,3,12,1962085.59581977,10534721.5675715
17,1,0,0,3,4,1404443.98076583,3946740.12106308
39,2,2,2,6,12,2056469.61007145,6758051.91173017
27,3,2,0,6,11,2817280.88147803,7295529.93444488
32,3,3,2,1,9,1976396.69036109,7772202.72083977
31,3,1,0,2,6,1896891.4895251999,3421218.74039005
13,5,0,0,7,12,2565872.76934815,8434025.52662461
13,2,3,2,6,13,2200643.86228649,8660557.1809106
20,6,2,0,5,13,2009393.83464406,5644051.39643604
15,0,2,1,0,3,1172507.65663001,1912502.46081738
26,5,3,1,3,12,1944003.79498839,4805329.86175385
33,5,1,1,1,8,2051880.18523939,6459058.92991719
31,3,3,2,1,9,1839760.37829174,5132806.91559934
37,2,2,2,2,8,2072273.8594923,5884082.13769541
24,0,3,0,5,8,2208318.36078943,4430795.49795817
28,0,0,0,7,7,1628055.54996819,4655662.92960564
31,2,3,0,5,10,1572585.12677325,4864070.65613999
35,4,1,2,7,14,2841264.17754738,5562830.87487841
19,5,3,0,4,12,1753942.3561128003,7362981.91767647
30,0,2,0,0,2,1217849.25061499,2613985.32733367
37,0,2,0,5,7,1755742.59721548,3864371.5953138
36,0,2,1,5,8,1570206.45051558,8726492.23142448
40,4,3,0,2,9,1652772.75311695,6451955.93138338
23,6,0,1,5,12,2168080.35781374,6292652.99849217
15,0,2,0,4,6,1453832.20109738,5006497.46861633
29,3,3,1,6,13,2514349.69786206,8299860.16102601
27,1,3,2,0,6,1264878.26640876,6346675.03699188
14,4,3,1,6,14,2473661.42179887,5300778.51055289
34,5,0,1,1,7,1937100.12979301,4670121.88060569
33,6,1,1,3,11,2204158.49610605,5585858.60929654
17,1,0,0,0,1,1112615.50805651,5373327.87761316
34,6,2,1,7,16,2694654.10245063,3851705.32831281
37,4,0,0,5,9,1446909.76946148,5144718.16951774
11,6,1,2,0,9,1787810.58249315,5530276.96281043
25,2,2,0,1,5,1574469.76389492,4806484.87254064
22,4,2,0,6,12,2482412.99165967,7576241.22132171
12,4,3,1,0,8,1296465.80915177,4744852.61100319
29,4,1,1,4,10,2450518.33516736,6863674.5037161
24,3,0,2,6,11,2511593.4376177,7155854.52255082
20,2,0,2,0,4,1043289.13551967,5234858.80264985
25,5,0,1,4,10,2026973.59368251,5202457.9304567
31,3,1,2,3,9,2054012.13200703,6306617.09110448
17,3,2,1,1,7,1850890.36853407,6098453.63161285
11,0,1,1,5,7,1795084.83586594,3274068.52716486
25,3,1,1,7,12,2829452.35102623,6307486.3760292
25,3,0,2,5,10,1968437.11931393,6541164.75376999
28,1,3,1,5,10,1733146.19049276,10039623.9092061
34,2,3,0,4,9,1835653.90194743,4853782.81695169
30,3,0,1,0,4,1253611.22426935,4645070.67903844
18,6,1,0,3,10,1919292.5560111,5385308.54628317
