"SEX","STATUS","CHILDREN","Est_Income","AGE","PAY_MTHD","CHURNED"
"M","M",2,93476.6,54,"CC","Current"
"M","M",0,20315.4,29,"CC","Current"
"M","M",0,55059.2,68,"CC","Current"
"M","M",1,92298,64,"CC","Current"
"M","M",2,64113.6,69,"CC","Current"
"M","S",0,57482.7,40,"CC","Current"
"F","M",1,77622.9,81,"Auto","Vol"
"F","S",1,61302,71,"CC","Current"
"F","M",1,41416.8,90,"CC","Vol"
"F","S",1,14740.1,42,"Auto","Vol"
"F","M",1,20013.2,93,"CC","Current"
"M","M",0,88811,58,"CH","Current"
"F","S",2,77293,43,"CC","Vol"
"F","M",2,70032.2,23,"Auto","Current"
"M","M",0,88164,84,"CC","Current"
"M","S",0,44073.5,81,"CC","Current"
"M","S",1,95182.1,72,"CC","Current"
"M","M",2,52921,70,"CC","Current"
"F","M",1,27376,54,"CC","Vol"
"F","S",0,48262.4,91,"CC","Vol"
"F","M",2,59078,50,"CC","Current"
"F","S",0,79727,67,"CC","Vol"
"F","S",2,5108.57,32,"CC","Current"
"F","M",2,94024.1,34,"CH","Current"
"M","S",1,11359.6,62,"CC","Current"
"M","S",0,60282.8,49,"CH","Current"
"M","M",0,95132.7,61,"Auto","Current"
"F","M",1,85980.9,39,"CC","Current"
"F","M",0,67042,83,"CH","Current"
"F","M",1,24943,52,"Auto","Vol"
"M","S",2,8172.8,26,"CH","Current"
"F","M",0,79771.3,55,"CC","Vol"
"F","M",0,91446.4,58,"Auto","Current"
"F","M",2,96283.6,36,"Auto","Current"
"F","S",1,24896.1,19,"CH","Vol"
"M","M",1,16785.9,91,"CC","Current"
"M","M",0,10421.7,68,"CH","Current"
"F","M",0,18199.7,42,"CC","Vol"
"F","M",2,56816.4,47,"CH","Vol"
"M","M",0,30057.4,65,"CC","Current"
"F","M",1,50290.7,59,"Auto","Vol"
"M","S",2,50050.5,55,"CH","Vol"
"F","S",1,46638.5,39,"CC","Current"
"F","S",2,42983.3,94,"CC","Current"
"F","S",2,32964.2,84,"CC","Current"
"F","M",1,63314.6,62,"CC","Vol"
"F","M",0,42877.2,22,"CH","Vol"
"F","S",1,78854.9,83,"CC","Vol"
"M","S",0,49127.2,29,"CC","Current"
"M","M",2,57430.5,44,"Auto","Current"
"M","S",0,56286.8,58,"CC","Current"
"F","S",1,83977.6,63,"CC","Vol"
"F","S",2,80571.6,22,"CH","Current"
"M","M",1,18672,53,"CC","Vol"
"F","S",0,91147.5,34,"CH","Current"
"F","M",1,21126.7,40,"CC","Vol"
"F","S",0,73032.9,29,"CH","Current"
"M","S",2,48882.6,50,"CC","Current"
"F","M",1,57549.5,18,"Auto","Current"
"F","M",0,81576.2,57,"CC","Vol"
"M","S",2,49059.4,62,"Auto","Current"
"F","S",0,95489.4,55,"CC","Vol"
"M","S",2,35235.9,29,"CC","Vol"
"M","M",2,30901.3,69,"Auto","Current"
"M","M",2,92855.3,95,"Auto","Current"
"F","S",1,50290.7,75,"CC","Vol"
"F","M",2,7394.15,55,"CC","Current"
"M","M",2,37168.9,67,"CC","Current"
"M","M",0,77177.1,59,"CH","Current"
"M","S",2,30059.6,89,"CC","Current"
"M","M",0,96188.2,72,"CC","Current"
"M","M",2,35119.1,59,"Auto","Current"
"M","S",1,36415.3,67,"CC","Current"
"F","M",1,1414.58,58,"Auto","Current"
"F","M",1,9929.4,18,"CH","Current"
"M","S",1,22718.6,87,"CC","Current"
"M","M",1,62381.4,49,"CH","Current"
"M","S",2,2271.11,82,"CH","Current"
"F","M",1,82051.9,91,"CC","Vol"
"M","M",1,57272.7,57,"CC","Current"
"F","S",2,85401.7,31,"CC","Current"
"M","M",1,99619.9,58,"CC","Current"
"M","M",2,55371.8,23,"Auto","Current"
"F","M",0,24737.8,48,"CC","Current"
"M","M",0,50290.7,80,"CC","Current"
"F","S",2,83996.9,39,"CC","Current"
"F","M",1,73138.8,21,"CC","Current"
"M","M",0,58979.3,19,"CC","Current"
"M","S",1,49176.2,88,"CH","Current"
"F","M",0,39516.3,77,"CC","Vol"
"M","M",2,24855.7,76,"Auto","Current"
"M","M",0,97996.9,29,"CC","Current"
"M","S",2,87381.8,48,"CH","Current"
"F","M",2,81309.5,38,"CC","Current"
"M","M",0,73834.9,34,"CC","Current"
"F","M",0,28021.4,79,"CC","Current"
"F","M",2,48334.1,49,"CC","Vol"
"M","M",0,60325.9,93,"Auto","Current"
"M","S",0,21079.2,72,"Auto","Current"
"M","S",1,75991.2,85,"Auto","Current"
"F","M",2,24325.8,34,"CC","Current"
"F","S",1,61231.7,54,"CC","Vol"
"F","M",2,17964,94,"Auto","Vol"
"F","S",1,80066.3,82,"Auto","Vol"
"M","M",0,43235.5,37,"CH","Current"
"M","M",0,50290.7,65,"CC","Current"
"M","S",2,51268.5,25,"CC","Current"
"F","M",2,29597.1,58,"CC","Current"
"M","S",2,73240.3,73,"CC","Current"
"F","M",0,15980.1,40,"Auto","Vol"
"F","S",1,61205.6,59,"CC","Vol"
"F","M",2,21380.9,60,"CC","Vol"
"M","S",0,88874,67,"Auto","Current"
"M","M",1,35827.5,43,"CC","Current"
"F","M",0,85205.1,43,"CC","Vol"
"M","M",2,21213,95,"Auto","Current"
"M","S",1,37809.7,52,"CC","Vol"
"M","S",1,68089.1,93,"CC","Current"
"M","S",1,15434.3,22,"CH","Vol"
"F","S",0,92405.9,73,"CC","Current"
"M","M",0,42248.7,90,"CC","Current"
"F","M",0,28528,55,"CC","Current"
"M","M",2,85753.4,83,"CC","Current"
"M","S",1,28906.8,37,"CH","Current"
"M","M",0,54864.6,78,"CH","Current"
"M","M",2,40774.2,25,"CH","Current"
"F","M",1,50613.1,81,"CH","Vol"
"M","M",1,60015.1,74,"CH","Current"
"M","S",1,11520.3,65,"Auto","Current"
"M","S",2,26349.1,57,"CC","Current"
"M","M",2,54370.8,65,"CC","Current"
"M","M",2,50290.7,55,"CC","Current"
"F","S",2,79133,89,"Auto","Vol"
"F","S",2,54643.3,61,"CC","Current"
"F","S",0,91646.6,55,"CC","Vol"
"F","M",1,79763.6,42,"CC","Current"
"M","M",1,15425.3,43,"CH","Current"
"M","M",1,65619.8,62,"CC","Vol"
"M","S",2,58087.5,38,"Auto","Current"
"F","M",2,36740.7,30,"CH","Current"
"F","M",2,95394,96,"CC","Vol"
"F","S",2,25754.9,74,"CC","Current"
"M","M",0,55714,40,"Auto","Current"
"F","S",0,36159,65,"CH","Current"
"M","M",1,24626,56,"CH","Current"
"F","M",0,49188.9,69,"CH","Vol"
"F","M",0,83165.7,57,"Auto","Vol"
"F","S",2,15080.4,70,"Auto","Current"
"F","M",2,59699.5,22,"Auto","Current"
"M","M",1,88474.7,39,"Auto","Current"
"M","M",0,64789.8,58,"CC","Current"
"F","M",1,99261.8,19,"Auto","Current"
"F","M",0,89344.4,83,"CC","Current"
"F","S",1,79009.7,82,"CH","Current"
"M","S",0,83986.8,96,"CC","Current"
"M","S",1,98360.6,48,"CC","Current"
"F","S",1,42002,74,"Auto","Vol"
"M","M",1,41334.1,55,"CC","Current"
"F","M",2,28848.8,69,"CH","Current"
"M","M",2,17246,53,"CC","Current"
"F","M",2,80667.4,71,"CC","Vol"
"F","S",2,56438.9,19,"CH","Current"
"M","M",0,52355.1,37,"CH","Current"
"M","M",0,99454.2,75,"CC","Current"
"F","M",2,80869.8,37,"CH","Current"
"F","M",1,50290.7,38,"CH","Current"
"M","S",0,44927,94,"CH","Current"
"F","M",0,2530.76,86,"CC","Current"
"F","M",2,19758.3,54,"CC","Current"
"F","M",0,10250.1,69,"CC","Vol"
"F","M",0,38450.2,28,"CC","Current"
"M","S",2,66649.2,70,"Auto","Current"
"F","S",1,21395.2,93,"CC","Vol"
"F","S",2,72800.9,78,"CH","Vol"
"M","M",0,41486.4,68,"Auto","Current"
"M","S",1,37832.6,31,"Auto","Current"
"F","S",0,95584.5,53,"CC","Current"
"M","M",1,59632.9,20,"Auto","Current"
"F","S",1,98860.1,97,"Auto","Vol"
"M","M",1,83039.2,61,"Auto","Vol"
"F","S",2,47396.2,92,"CC","Vol"
"F","M",0,46812.7,37,"CC","Current"
"F","S",0,41624.7,59,"Auto","Vol"
"F","M",0,63306.6,50,"CC","Vol"
"F","S",1,33671,34,"CC","Current"
"F","S",0,16829.6,39,"Auto","Current"
"M","M",0,80417.5,69,"CC","Current"
"M","M",1,34317.6,53,"CH","Vol"
"F","M",1,99248.1,86,"CC","Vol"
"F","M",2,8749.8,62,"CC","Vol"
"F","M",0,17499.2,38,"CC","Current"
"M","M",1,76213.2,94,"CH","Current"
"F","M",2,11434.6,75,"CC","Vol"
"M","M",2,75004.5,97,"CC","Current"
"M","M",0,54430.2,32,"CC","Vol"
"F","S",1,54370.7,27,"CH","Current"
"M","S",2,83653.3,90,"CH","Current"
"F","S",0,23892.2,59,"CH","Vol"
"F","S",0,34160.5,77,"CH","Vol"
"M","M",2,50290.7,27,"Auto","Current"
"F","S",1,31639.2,86,"CC","Vol"
"F","M",1,7071.46,47,"CC","Vol"
"M","M",0,28000.4,33,"CC","Current"
"M","S",1,2743.69,77,"CC","Current"
"F","M",1,97318.6,68,"CC","Vol"
"F","S",1,46771.2,93,"CC","Vol"
"F","M",1,48457.6,30,"CH","Current"
"M","M",2,40372.4,93,"CH","Current"
"F","M",1,57611.4,47,"CH","Vol"
"M","M",0,60156.9,89,"CH","Current"
"F","M",1,58462.3,22,"Auto","Current"
"F","M",2,295.941,25,"CH","Vol"
"F","S",2,17689.2,44,"CH","Vol"
"M","M",1,7277.29,66,"CC","Current"
"F","S",0,45310.4,69,"CC","Vol"
"M","M",0,66742.3,38,"Auto","Current"
"M","M",2,27667.6,97,"CC","Vol"
"M","M",2,7673.47,45,"Auto","Vol"
"F","M",0,99832.9,68,"CC","Vol"
"M","M",0,93996.8,46,"CC","Current"
"F","M",2,54039.4,47,"CC","Vol"
"M","M",2,11254.9,31,"CC","Current"
"F","S",2,51744.2,55,"CC","Current"
"M","S",0,4841.33,56,"CC","Current"
"M","S",0,22150.8,72,"Auto","Current"
"M","M",2,39035.8,45,"Auto","Current"
"M","M",0,82981,63,"CC","Current"
"F","S",1,31809.7,80,"CH","Vol"
"F","M",1,17755.4,80,"CC","Vol"
"M","M",0,41063.6,61,"CH","Current"
"F","M",0,4581.11,48,"CH","Vol"
"M","S",0,9414.82,49,"Auto","Current"
"M","S",1,57626.9,65,"CC","Current"
"F","M",2,63328.8,28,"Auto","Vol"
"F","M",2,62685,78,"CC","Vol"
"F","M",1,51014,46,"CC","Vol"
"M","M",0,18552.7,42,"CC","Vol"
"F","S",1,14082,23,"CH","Vol"
"F","M",1,50290.7,57,"CC","Vol"
"F","M",0,91198.6,69,"CC","Current"
"M","S",2,4123.46,58,"CC","Current"
"F","M",0,37389.2,54,"CH","Vol"
"M","S",2,59592.6,76,"CC","Current"
"F","S",1,87818.3,79,"CH","Current"
"M","S",2,56256.1,86,"CC","Current"
"M","M",1,18307.4,61,"CC","Current"
"F","M",2,5936.48,84,"Auto","Vol"
"F","S",0,23832,73,"CC","Current"
"M","M",1,69408.3,55,"CC","Current"
"M","S",2,39700.3,28,"CH","Vol"
"F","M",0,41947.8,45,"CC","Current"
"M","M",1,27677.8,68,"Auto","Current"
"F","M",2,42846.2,75,"CC","Vol"
"M","M",0,51195.5,71,"CC","Current"
"M","S",0,34148.6,84,"Auto","Current"
"F","M",0,38705.5,21,"CC","Vol"
"M","S",0,85804.3,41,"CC","Current"
"F","S",1,60310.6,49,"CC","Vol"
"M","M",2,25108.2,83,"CC","Current"
"M","S",0,33912.4,59,"CC","Current"
"F","M",1,7027.14,32,"CH","Current"
"F","M",0,58345.8,65,"CC","Vol"
"M","S",0,2630.4,51,"CC","Current"
"M","M",0,29518.8,92,"CH","Current"
"M","S",0,75854.9,97,"Auto","Current"
"M","M",1,3578,30,"Auto","Current"
"F","S",2,62275.3,64,"CH","Vol"
"F","M",0,25445.6,74,"Auto","Vol"
"M","M",1,49554.8,44,"CH","Current"
"M","M",0,1846.01,18,"CC","Vol"
"F","S",0,95056.9,84,"CC","Vol"
"M","M",0,40728.7,18,"CC","Current"
"M","S",2,55050.5,72,"CC","Vol"
"M","M",0,98127.6,87,"CH","Current"
"M","S",2,27958.5,84,"Auto","Current"
"M","M",1,95847.9,22,"CC","Vol"
"F","M",1,67750.9,19,"CC","Current"
"M","S",1,93645.3,42,"CC","Current"
"F","M",1,31650.2,42,"CH","Current"
"F","M",1,86618.8,80,"CC","Vol"
"F","S",0,48506.7,80,"CC","Vol"
"M","M",0,50622.9,53,"CH","Current"
"F","M",0,50290.7,59,"CC","Vol"
"F","S",0,54486.5,81,"CC","Vol"
"F","M",1,84388.5,41,"Auto","Vol"
"M","S",2,21242.8,53,"CC","Current"
"M","S",2,61766.7,91,"Auto","Current"
"M","S",0,28273,71,"CC","Current"
"M","M",1,57237.9,33,"CC","Vol"
"M","S",1,37248.6,71,"Auto","Current"
"F","M",2,25796.5,64,"CC","Vol"
"M","S",1,24104.7,76,"Auto","Current"
"F","M",2,48471.1,49,"CC","Vol"
"F","S",1,57952.6,75,"CH","Vol"
"F","S",1,31931.3,39,"Auto","Current"
"F","M",1,33967.7,33,"CC","Current"
"F","S",0,91106.4,25,"CC","Current"
"M","M",0,18909.5,85,"CC","Current"
"M","S",2,19998.4,26,"CC","Vol"
"F","M",2,72401.8,39,"CH","Current"
"M","S",1,83556.7,68,"CC","Current"
"F","M",0,34437.2,46,"CH","Vol"
"F","M",2,36090.7,86,"CH","Vol"
"F","M",2,58148.7,65,"CC","Vol"
"F","M",2,69730.9,85,"Auto","Vol"
"F","S",2,43151.7,79,"CH","Vol"
"F","S",0,17491.4,82,"CH","Vol"
"F","M",2,16948.8,30,"CC","Current"
"F","M",1,38788.3,72,"CC","Vol"
"F","S",2,10764.6,88,"Auto","Vol"
"F","M",0,13441.5,18,"CC","Current"
"M","S",1,47503.9,62,"CH","Current"
"M","S",2,72018.6,66,"CC","Current"
"F","S",1,21529.1,29,"CH","Vol"
"M","M",1,96349.8,36,"CC","Current"
"F","M",0,35697.5,76,"Auto","Vol"
"F","M",1,40792.3,60,"CC","Current"
"F","M",0,94576.2,46,"Auto","Vol"
"M","M",0,69463.1,42,"CC","Current"
"F","M",1,2796.07,90,"CC","Current"
"F","S",0,68608,88,"Auto","Current"
"M","M",1,44065.4,46,"CC","Current"
"F","M",1,99485.3,31,"CC","Current"
"M","M",0,35125,60,"CC","Current"
"F","M",1,4875.25,57,"CC","Vol"
"F","S",0,26435.8,71,"CC","Current"
"F","S",2,48271.8,41,"Auto","Vol"
"F","M",2,50290.7,49,"CC","Vol"
"M","M",1,12713.3,86,"CC","Current"
"M","S",0,13946.8,94,"CH","Current"
"F","M",1,16915.2,19,"CC","Vol"
"M","S",2,68140.5,20,"CC","Current"
"F","S",1,77021.7,43,"CC","Vol"
"M","S",1,12752.5,47,"CC","Current"
"F","M",0,62484.8,68,"Auto","Vol"
"M","S",0,32358.1,49,"Auto","Current"
"M","S",0,72385.9,61,"CC","Current"
"F","M",0,45444,71,"Auto","Current"
"M","M",0,97341.4,36,"CH","Current"
"M","S",0,48841.4,82,"CH","Vol"
"F","M",1,73098.7,34,"CH","Vol"
"F","M",1,25863.8,22,"CC","Vol"
"M","S",2,33377.3,55,"CH","Current"
"M","S",2,33373.9,40,"CH","Current"
"M","S",0,79872.6,92,"CC","Current"
"M","S",1,48107.2,21,"CC","Current"
"F","S",1,94083.3,36,"CC","Current"
"M","M",1,3793.73,48,"CC","Current"
"F","S",2,14905,22,"CH","Vol"
"F","M",2,22781.6,43,"CC","Vol"
"F","S",1,9824.75,67,"Auto","Current"
"F","S",2,11503.8,53,"CC","Vol"
"M","S",2,59753.2,34,"Auto","Current"
"F","M",0,16840.7,78,"CC","Current"
"F","S",2,13094.8,27,"CC","Vol"
"F","M",1,37079.4,65,"Auto","Current"
"F","S",1,73334.3,30,"Auto","Current"
"F","M",0,69458.8,42,"Auto","Vol"
"M","S",1,13126.9,37,"CH","Current"
"F","M",1,16350.3,58,"CC","Current"
"M","M",0,27170.6,45,"CH","Current"
"F","M",2,96821.1,50,"Auto","Vol"
"F","S",1,17540.7,94,"Auto","Vol"
"M","M",2,80385.4,33,"Auto","Current"
"M","S",1,4347.25,93,"CC","Current"
"M","S",0,51669,89,"CH","Current"
"M","M",2,16875.9,27,"CH","Vol"
"F","M",1,2976.91,20,"CC","Current"
"M","S",0,4961.5,47,"CH","Current"
"F","M",2,5237.63,73,"CC","Vol"
"M","S",1,80982.7,67,"CC","Current"
"F","S",1,71906.8,19,"CC","Vol"
"F","S",0,50290.7,45,"CH","Vol"
"M","M",2,60644.3,63,"Auto","Current"
"M","S",2,34524.7,37,"Auto","Current"
"M","S",0,12686.9,23,"CH","Vol"
"F","S",1,59489,47,"CH","Current"
"M","S",2,14690.1,31,"CC","Current"
"M","S",1,91607.4,76,"CC","Current"
"F","S",2,76845.3,83,"Auto","Vol"
"F","M",2,82056.6,21,"Auto","Current"
"F","M",2,64726.8,18,"Auto","Current"
"M","M",2,42623.5,35,"CH","Current"
"F","S",1,37331.2,77,"CH","Current"
"F","M",2,79960,29,"CH","Current"
"M","S",0,93302.9,93,"CC","Current"
"F","M",2,47902,39,"Auto","Current"
"M","S",2,32272.7,39,"CC","Current"
"F","S",0,58384.3,70,"CC","Vol"
"M","M",1,2502.74,96,"Auto","Current"
"F","M",0,79721.1,47,"CH","Vol"
"M","M",2,40844.4,97,"CH","Current"
"F","M",0,8090.4,79,"CC","Vol"
"M","S",1,57322.1,68,"CH","Vol"
"M","M",0,69444.5,20,"CC","Vol"
"M","M",0,64313,51,"CC","Current"
"M","S",2,88943.9,40,"Auto","Current"
"M","S",1,50126.8,39,"CH","Current"
"F","S",0,45612.9,21,"CC","Current"
"F","S",1,92718.6,27,"CH","Current"
"M","S",2,17047.2,68,"CC","Current"
"F","S",1,7737.94,64,"CC","Vol"
"F","M",2,59613.1,51,"CC","Vol"
"M","S",1,57904.4,92,"CC","Vol"
"M","M",2,88146.4,97,"CC","Current"
"M","S",1,86608.5,27,"CC","Current"
"F","M",0,78851.3,72,"CC","Vol"
"F","M",1,3624.7,87,"Auto","Vol"
"F","M",1,36016.9,57,"Auto","Vol"
"F","M",2,42031.8,76,"CH","Current"
"M","M",1,39229.1,39,"CC","Vol"
"M","M",0,57042.2,42,"Auto","Current"
"M","S",1,94449.5,74,"Auto","Current"
"F","M",2,67085.4,45,"CC","Vol"
"F","S",1,4972.89,28,"CH","Vol"
"M","M",0,26369.2,67,"Auto","Current"
"F","M",2,35976.5,73,"Auto","Vol"
"F","M",1,77129.1,92,"CH","Vol"
"F","M",2,8204.72,79,"CH","Vol"
"M","M",2,40714.5,59,"Auto","Current"
"M","M",1,97180.4,75,"Auto","Vol"
"F","M",2,50290.7,68,"CC","Vol"
"F","M",0,869.57,23,"CH","Vol"
"F","M",1,70002.4,52,"CH","Vol"
"M","S",0,37498.2,82,"CH","Current"
"M","M",0,51015.7,31,"CH","Current"
"M","S",2,29835.9,96,"CC","Current"
"M","S",1,13141.5,80,"CC","Current"
"F","S",0,69350.5,86,"CC","Current"
"F","M",1,51812.2,97,"CC","Vol"
"F","M",1,49453.8,82,"CC","Current"
"F","S",2,28787.4,62,"Auto","Current"
"F","S",1,94278.7,79,"CC","Current"
"M","S",2,12160.7,58,"Auto","Current"
"F","M",0,80659.1,35,"CC","Current"
"M","M",1,35075,57,"CC","Current"
"M","M",1,43457.9,23,"Auto","Current"
"M","S",1,82314.1,44,"CC","Current"
"F","S",1,13109.1,93,"Auto","Current"
"M","M",2,51493,71,"CC","Current"
"F","M",0,17700.4,65,"CC","Vol"
"M","M",1,13091.6,88,"CC","Current"
"F","M",0,91708.4,55,"CH","Current"
"F","S",0,64335,28,"CC","Current"
"M","S",2,6704.78,88,"CH","Current"
"F","S",1,92187.1,45,"CH","Vol"
"M","M",1,38302.7,69,"Auto","Current"
"F","M",1,40027.6,54,"CC","Vol"
"M","S",1,85774.3,26,"CC","Vol"
"F","S",2,2638.11,51,"CC","Vol"
"F","M",0,10878.5,61,"CC","Vol"
"F","S",1,30234.8,34,"CC","Vol"
"F","S",2,13965.4,62,"CH","Vol"
"F","S",1,45495,64,"CH","Vol"
"F","M",1,22198.1,63,"CC","Vol"
"F","M",1,64557.8,21,"CH","Current"
"F","M",2,62061.8,68,"Auto","Current"
"F","S",0,76142,48,"CC","Current"
"F","M",1,53298.7,47,"CC","Vol"
"M","M",0,78319.3,67,"Auto","Current"
"M","M",0,34994.1,79,"CC","Current"
"M","S",1,97205.2,81,"CC","Current"
"F","S",0,77462,84,"CC","Vol"
"M","M",2,17888.7,62,"CC","Current"
"M","S",1,38348.1,36,"CC","Current"
"F","M",0,28770.9,18,"CH","Vol"
"F","M",2,30763.8,21,"CC","Vol"
"F","M",2,3193.6,81,"CH","Vol"
"F","M",0,33520.9,41,"CC","Vol"
"F","M",0,11268.3,56,"CH","Vol"
"M","S",1,79688.7,85,"CC","Current"
"M","S",2,88063.2,28,"CC","Current"
"F","M",0,62229.6,89,"Auto","Vol"
"F","S",0,41856.2,31,"Auto","Current"
"M","M",2,2056.06,28,"Auto","Vol"
"M","S",0,38872.3,95,"CC","Vol"
"M","M",1,89928.5,39,"CH","Current"
"F","S",0,74018.4,37,"Auto","Current"
"M","M",0,15819.6,30,"CC","Current"
"M","S",2,25826.4,96,"CC","Current"
"M","S",2,18569.2,39,"CC","Current"
"M","S",0,27498.1,97,"CC","Current"
"F","M",0,37121.7,62,"CC","Vol"
"M","S",2,23464,30,"CC","Current"
"F","M",0,69641.6,54,"CH","Current"
"M","M",2,91272.2,37,"CC","Current"
"F","M",1,77374.6,59,"CC","Vol"
"M","M",2,85275,56,"Auto","Current"
"F","M",2,47639.1,36,"CC","Current"
"F","M",0,86770.4,39,"CH","Vol"
"F","M",2,53067.2,27,"CC","Current"
"F","M",0,71816.1,81,"CC","Current"
"F","S",1,60362.1,84,"CC","Vol"
"F","S",0,93322.1,60,"CH","Current"
"M","M",1,8663.42,96,"CC","Current"
"M","M",2,23537.6,54,"CC","Current"
"M","M",1,91008.7,44,"CC","Current"
"M","S",1,31166.6,26,"CH","Vol"
"M","M",0,52284.7,54,"CC","Current"
"F","M",1,87404.6,94,"Auto","Vol"
"M","S",0,63782.6,35,"CC","Current"
"M","M",2,49910.7,77,"CC","Current"
"F","M",0,98129,48,"Auto","Vol"
"M","M",2,76161.4,66,"CC","Current"
"F","S",1,12686,97,"Auto","Vol"
"M","M",0,56702.5,62,"CH","Current"
"F","M",1,67112.7,18,"CC","Current"
"M","M",1,64880,51,"CC","Current"
"F","S",1,51472.3,34,"CH","Current"
"M","S",0,12860.5,71,"CC","Current"
"F","M",2,85394,30,"Auto","Vol"
"M","S",2,87708,18,"CC","Current"
"F","M",2,25738.4,75,"CH","Vol"
"M","M",0,50290.7,84,"CC","Current"
"M","S",0,12134.7,48,"CC","Current"
"F","S",1,86252.8,43,"CC","Vol"
"M","M",0,87630.5,94,"Auto","Current"
"M","M",2,92981.2,19,"CC","Current"
"M","M",2,71035.4,75,"CH","Current"
"F","M",2,26449.8,78,"CH","Vol"
"M","S",1,76074.1,26,"CC","Current"
"F","M",1,56722.8,90,"CC","Vol"
"F","M",1,23012.6,39,"CC","Current"
"F","S",2,48162,23,"CC","Current"
"M","S",1,27778.2,22,"CC","Vol"
"F","S",0,71570.3,37,"CH","Current"
"F","M",0,98056.3,83,"Auto","Vol"
"M","S",1,76394,53,"CC","Current"
"F","M",2,87297.9,79,"CC","Vol"
"F","M",0,56518.4,38,"CC","Current"
"M","S",2,8014.59,92,"CC","Current"
"F","S",0,59232.8,87,"CC","Vol"
"M","M",1,72996,76,"CC","Current"
"M","M",1,69294.7,29,"CC","Current"
"M","S",0,5898.9,61,"CC","Current"
"M","M",2,14543.1,50,"Auto","Current"
"M","M",0,52366.4,25,"CH","Current"
"F","S",1,49553.9,56,"CC","Vol"
"F","S",1,540.406,58,"Auto","Current"
"F","M",0,57255.4,57,"CC","Vol"
"F","S",1,71941.5,22,"CH","Vol"
"M","S",2,65330.2,83,"CC","Current"
"M","M",2,67339.8,25,"CC","Current"
"F","S",2,15688.5,79,"CC","Vol"
"F","S",1,68767,53,"CC","Vol"
"F","M",2,92103.8,78,"CC","Vol"
"F","S",2,8392.14,55,"CH","Vol"
"F","M",2,16705.6,32,"CH","Current"
"M","M",2,69005.6,48,"CC","Current"
"F","M",1,81641.2,68,"CC","Current"
"M","M",1,62789.9,40,"Auto","Current"
"M","S",1,13428.5,54,"Auto","Current"
"F","M",1,3920.43,41,"Auto","Current"
"M","M",1,31841.7,77,"Auto","Current"
